code,grades,question_number,prompt,image_url,correct_answer,alternative_answers,tolerance
Q26-MATH-G2-01,2,01,Sardorda 225 ming so'm pul bor. U sut sotib olishi uchun unga yana 35 ming so'm kerak bo'ladi. Sut qancha turadi (so'm)?,/question-assets/admission-2026/math/g2/q01.png,260000,,0
Q26-MATH-G2-02,2,02,"3 ta olma sig'adigan sumka 2 dollar turadi. Agar sumka narxlari olmalar sig'imiga mos bo'lsa, 10 dollarga sotib olingan sumkalarga nechta olma sig'adi?",/question-assets/admission-2026/math/g2/q02.png,15,,0
Q26-MATH-G2-03,2,03,Samolyot manzilga yetishi uchun yana qancha masofani uchib o'tishi kerak?,/question-assets/admission-2026/math/g2/q03.png,,,0
Q26-MATH-G2-04,2,04,Rasmga asosan ikkita pomidorning vaznini toping.,/question-assets/admission-2026/math/g2/q04.png,,,0
Q26-MATH-G2-05,2,05,Tenglamani ildizini toping: 24 + 12 + x = 22 + 18,/question-assets/admission-2026/math/g2/q05.png,4,,0
Q26-MATH-G2-06,2,06,Miraziz Boboning hozirgi yoshi 69 da. Uning nabirasi Mirjalol bobosidan 3 marta kichik. Mirjalolning 3 yildan keyingi yoshini toping.,/question-assets/admission-2026/math/g2/q06.png,26,,0
Q26-MATH-G2-07,2,07,"Birinchi sinfda 26 ta, ikkinchi sinfda undan 5 ta ko'p o'quvchi bor. Ikkala sinfda jami nechta o'quvchi bor?",/question-assets/admission-2026/math/g2/q07.png,57,,0
Q26-MATH-G2-08,2,08,"Quyidagi shakllarda berilgan sonlar bog'liqligidan foydalanib, so'roq '?' o'rnidagi sonni toping.",/question-assets/admission-2026/math/g2/q08.png,,,0
Q26-MATH-G2-09,2,09,"Quyida berilgan raqamlardan bir martadan foydalanib, eng kichik olti xonali sonni yozing.",/question-assets/admission-2026/math/g2/q09.png,,,0
Q26-MATH-G2-10,2,10,"Quyidagi hisoblashlar to'g'ri bajarilganda, so'roq '?' belgisi o'rnida qaysi son bo'ladi?",/question-assets/admission-2026/math/g2/q10.png,,,0
Q26-MATH-G2-11,2,11,Yig'indini qiymatini aniqlang:,/question-assets/admission-2026/math/g2/q11.png,,,0
Q26-MATH-G2-12,2,12,Hisoblang: (24 : 8) + (6 · 9) - (45 - 7),/question-assets/admission-2026/math/g2/q12.png,19,,0
Q26-MATH-G2-13,2,13,Berilgan qoidaga ko'ra '?' o'rnidagi sonni toping.,/question-assets/admission-2026/math/g2/q13.png,,,0
Q26-MATH-G2-14,2,14,"Quyida berilgan tenglik to'g'ri bo'lsa, '?' o'rnidagi sonni toping.",/question-assets/admission-2026/math/g2/q14.png,,,0
Q26-MATH-G2-15,2,15,"Bir o'ram gul yasash uchun 9 dona atirgul kerak. Agar bir dona atirgul narxi 12 000 so'm bo'lsa, o'ramning narxi necha so'm bo'ladi?",/question-assets/admission-2026/math/g2/q15.png,108000,,0
Q26-MATH-G2-16,2,16,Ayirmani hisoblang: 18 m 63 cm - 9 m 18 cm = _ m _ cm,/question-assets/admission-2026/math/g2/q16.png,9 m 45 cm,,0
Q26-MATH-G2-17,2,17,Daftarning narxi 700 so'm. Qalam daftardan ikki marta arzon. 3 ta daftar va 1 ta qalam birgalikda necha so'm bo'ladi?,/question-assets/admission-2026/math/g2/q17.png,2450,,0
Q26-MATH-G2-18,2,18,Hozir soat 10:15. Avtobus 45 minutdan so’ng yuradi. Avtobus soat nechida yuradi?,/question-assets/admission-2026/math/g2/q18.png,11:00,,0
Q26-MATH-G2-19,2,19,To’rtala tomoni ham bir-biriga teng bo’lgan shakl nima deyiladi?,/question-assets/admission-2026/math/g2/q19.png,kvadrat,,0
Q26-MATH-G2-20,2,20,Matematika savoli 20,/question-assets/admission-2026/math/g2/q20.png,,,0
Q26-MATH-G2-21,2,21,Matematika savoli 21,/question-assets/admission-2026/math/g2/q21.png,,,0
Q26-MATH-G2-22,2,22,Solihada 14ta qulupnay bor edi. U 3ta dugonasing har biriga 4tadan qulupnay berdi. Solihada nechta qulupnay qoldi?,/question-assets/admission-2026/math/g2/q22.png,2,,0
